timestamp,vus,http_reqs_per_s
2025-04-24 01:38:00,10,5
2025-04-24 01:39:00,140,94
2025-04-24 01:42:00,140,82
2025-04-24 01:46:00,140,80
2025-04-24 01:50:00,140,76
2025-04-24 01:51:00,140,73
2025-04-24 01:52:00,140,22
2025-04-24 01:53:00,140,15
2025-04-24 01:54:00,140,12
2025-04-24 01:55:00,140,18
2025-04-24 01:56:00,140,10
2025-04-24 01:57:00,140,25
2025-04-24 01:58:00,140,18
2025-04-24 01:59:00,140,28
2025-04-24 02:00:00,140,78
2025-04-24 02:02:00,140,82.6
2025-04-24 02:10:00,140,76
2025-04-24 02:20:00,140,79
2025-04-24 02:30:00,140,81
2025-04-24 02:37:00,140,84
2025-04-24 02:38:00,0,0
